arg_id,topic,stance,key_point_id,score,label,label_strict,label_relaxed
arg_4_0,We should abandon the use of school uniform,0,kp_4_1,0.1938142329454422,1,1,1
arg_4_1,We should abandon the use of school uniform,0,kp_4_0,0.2335120439529419,0,0,0
arg_4_2,We should abandon the use of school uniform,0,kp_4_3,0.24511884152889252,1,1,1
arg_4_3,We should abandon the use of school uniform,0,kp_4_2,0.20287296175956726,0,0,0
arg_4_4,We should abandon the use of school uniform,0,kp_4_2,0.2491326779127121,1,1,1
arg_4_5,We should abandon the use of school uniform,0,kp_4_0,0.2527841627597809,0,0,0
arg_4_6,We should abandon the use of school uniform,0,kp_4_3,0.22786523401737213,0,0,0
arg_4_7,We should abandon the use of school uniform,0,kp_4_2,0.2143162190914154,0,0,0
arg_4_8,We should abandon the use of school uniform,0,kp_4_3,0.2788298428058624,0,0,0
arg_4_9,We should abandon the use of school uniform,0,kp_4_3,0.2293604016304016,0,0,0
arg_4_10,We should abandon the use of school uniform,0,kp_4_3,0.229303777217865,,0,1
arg_4_11,We should abandon the use of school uniform,0,kp_4_2,0.20779332518577576,,0,1
arg_4_12,We should abandon the use of school uniform,0,kp_4_0,0.22666820883750916,,0,1
arg_4_13,We should abandon the use of school uniform,0,kp_4_0,0.23250196874141693,,0,1
arg_4_14,We should abandon the use of school uniform,0,kp_4_0,0.21228018403053284,,0,1
arg_4_15,We should abandon the use of school uniform,0,kp_4_0,0.23951585590839386,,0,1
arg_4_16,We should abandon the use of school uniform,0,kp_4_0,0.2110411673784256,,0,1
arg_4_17,We should abandon the use of school uniform,0,kp_4_0,0.2247544676065445,,0,1
arg_4_18,We should abandon the use of school uniform,0,kp_4_0,0.24967391788959503,,0,1
arg_4_19,We should abandon the use of school uniform,0,kp_4_3,0.2549827992916107,,0,1
arg_4_20,We should abandon the use of school uniform,0,kp_4_0,0.2517801523208618,,0,1
arg_4_21,We should abandon the use of school uniform,0,kp_4_0,0.21815332770347595,,0,1
arg_4_22,We should abandon the use of school uniform,0,kp_4_3,0.25204673409461975,,0,1
arg_4_23,We should abandon the use of school uniform,0,kp_4_3,0.26349255442619324,,0,1
arg_4_24,We should abandon the use of school uniform,0,kp_4_0,0.2034088373184204,,0,1
arg_4_25,We should abandon the use of school uniform,0,kp_4_3,0.27455756068229675,,0,1
arg_4_26,We should abandon the use of school uniform,0,kp_4_0,0.26744914054870605,,0,1
arg_4_27,We should abandon the use of school uniform,0,kp_4_0,0.221814826130867,,0,1
arg_4_28,We should abandon the use of school uniform,0,kp_4_0,0.20501050353050232,,0,1
arg_4_29,We should abandon the use of school uniform,0,kp_4_3,0.2485635131597519,,0,1
arg_4_30,We should abandon the use of school uniform,0,kp_4_0,0.21283333003520966,,0,1
arg_4_31,We should abandon the use of school uniform,0,kp_4_3,0.2750530242919922,,0,1
arg_4_32,We should abandon the use of school uniform,0,kp_4_3,0.277896910905838,,0,1
arg_4_33,We should abandon the use of school uniform,0,kp_4_0,0.21453775465488434,,0,1
arg_4_34,We should abandon the use of school uniform,0,kp_4_3,0.235571950674057,,0,1
arg_4_35,We should abandon the use of school uniform,0,kp_4_0,0.26972696185112,,0,1
arg_4_36,We should abandon the use of school uniform,0,kp_4_0,0.23153378069400787,,0,1
arg_4_37,We should abandon the use of school uniform,0,kp_4_0,0.28160735964775085,,0,1
arg_4_38,We should abandon the use of school uniform,0,kp_4_0,0.2225029319524765,,0,1
arg_4_39,We should abandon the use of school uniform,0,kp_4_0,0.2074597179889679,,0,1
arg_4_40,We should abandon the use of school uniform,0,kp_4_0,0.206257626414299,,0,1
arg_4_41,We should abandon the use of school uniform,0,kp_4_0,0.21324409544467926,,0,1
arg_4_42,We should abandon the use of school uniform,0,kp_4_0,0.21458108723163605,,0,1
arg_4_43,We should abandon the use of school uniform,0,kp_4_3,0.2079882174730301,,0,1
arg_4_44,We should abandon the use of school uniform,0,kp_4_0,0.2162328064441681,,0,1
arg_4_45,We should abandon the use of school uniform,0,kp_4_0,0.19433774054050446,,0,1
arg_4_46,We should abandon the use of school uniform,0,kp_4_3,0.26088088750839233,,0,1
arg_4_47,We should abandon the use of school uniform,0,kp_4_0,0.19820795953273773,,0,1
arg_4_48,We should abandon the use of school uniform,0,kp_4_3,0.24198579788208008,,0,1
arg_4_49,We should abandon the use of school uniform,0,kp_4_3,0.26360824704170227,,0,1
arg_4_50,We should abandon the use of school uniform,0,kp_4_0,0.23629823327064514,,0,1
arg_4_51,We should abandon the use of school uniform,0,kp_4_0,0.2126569002866745,,0,1
arg_4_52,We should abandon the use of school uniform,0,kp_4_0,0.22311076521873474,,0,1
arg_4_53,We should abandon the use of school uniform,0,kp_4_3,0.2771188020706177,,0,1
arg_4_54,We should abandon the use of school uniform,0,kp_4_0,0.21177196502685547,,0,1
arg_4_55,We should abandon the use of school uniform,0,kp_4_0,0.20997977256774902,,0,1
arg_4_56,We should abandon the use of school uniform,0,kp_4_0,0.26821425557136536,,0,1
arg_4_57,We should abandon the use of school uniform,0,kp_4_0,0.21438252925872803,,0,1
arg_4_58,We should abandon the use of school uniform,0,kp_4_0,0.20372700691223145,,0,1
arg_4_59,We should abandon the use of school uniform,0,kp_4_4,0.26261085271835327,,0,1
arg_4_60,We should abandon the use of school uniform,0,kp_4_3,0.2419746220111847,,0,1
arg_4_61,We should abandon the use of school uniform,0,kp_4_3,0.24446508288383484,,0,1
arg_4_62,We should abandon the use of school uniform,0,kp_4_0,0.20721720159053802,,0,1
arg_4_63,We should abandon the use of school uniform,0,kp_4_3,0.2504633963108063,,0,1
arg_4_64,We should abandon the use of school uniform,0,kp_4_3,0.25627654790878296,,0,1
arg_4_65,We should abandon the use of school uniform,0,kp_4_0,0.22899621725082397,,0,1
arg_4_66,We should abandon the use of school uniform,0,kp_4_0,0.23418207466602325,,0,1
arg_4_67,We should abandon the use of school uniform,0,kp_4_3,0.2656286060810089,,0,1
arg_4_68,We should abandon the use of school uniform,0,kp_4_0,0.2530299425125122,,0,1
arg_4_69,We should abandon the use of school uniform,0,kp_4_0,0.2339363396167755,,0,1
arg_4_70,We should abandon the use of school uniform,0,kp_4_0,0.20392261445522308,,0,1
arg_4_71,We should abandon the use of school uniform,0,kp_4_0,0.23513272404670715,,0,1
arg_4_72,We should abandon the use of school uniform,0,kp_4_0,0.2117074579000473,,0,1
arg_4_73,We should abandon the use of school uniform,0,kp_4_0,0.21391236782073975,,0,1
arg_4_74,We should abandon the use of school uniform,0,kp_4_0,0.232103168964386,,0,1
arg_4_75,We should abandon the use of school uniform,0,kp_4_0,0.20791926980018616,,0,1
arg_4_76,We should abandon the use of school uniform,0,kp_4_0,0.2650808095932007,,0,1
arg_4_77,We should abandon the use of school uniform,0,kp_4_0,0.20084379613399506,,0,1
arg_4_78,We should abandon the use of school uniform,0,kp_4_3,0.23777934908866882,,0,1
arg_4_79,We should abandon the use of school uniform,0,kp_4_3,0.22629697620868683,,0,1
arg_4_80,We should abandon the use of school uniform,0,kp_4_2,0.24874745309352875,,0,1
arg_4_81,We should abandon the use of school uniform,0,kp_4_2,0.21478141844272614,,0,1
arg_4_82,We should abandon the use of school uniform,0,kp_4_0,0.18422305583953857,,0,1
arg_4_83,We should abandon the use of school uniform,0,kp_4_2,0.22394803166389465,,0,1
arg_4_84,We should abandon the use of school uniform,0,kp_4_0,0.21594032645225525,,0,1
arg_4_85,We should abandon the use of school uniform,0,kp_4_3,0.23632539808750153,,0,1
arg_4_86,We should abandon the use of school uniform,0,kp_4_2,0.22800122201442719,,0,1
arg_4_87,We should abandon the use of school uniform,0,kp_4_2,0.2041831761598587,,0,1
arg_4_88,We should abandon the use of school uniform,0,kp_4_4,0.2301928550004959,,0,1
arg_4_89,We should abandon the use of school uniform,0,kp_4_3,0.22458453476428986,,0,1
arg_4_90,We should abandon the use of school uniform,0,kp_4_0,0.2160957008600235,,0,1
arg_4_91,We should abandon the use of school uniform,0,kp_4_3,0.21372833847999573,,0,1
arg_4_92,We should abandon the use of school uniform,0,kp_4_4,0.23665805160999298,,0,1
arg_4_93,We should abandon the use of school uniform,0,kp_4_3,0.2366577833890915,,0,1
arg_4_94,We should abandon the use of school uniform,0,kp_4_3,0.2530252933502197,,0,1
arg_4_95,We should abandon the use of school uniform,0,kp_4_3,0.2514772117137909,,0,1
arg_4_96,We should abandon the use of school uniform,0,kp_4_3,0.22244161367416382,,0,1
arg_4_97,We should abandon the use of school uniform,0,kp_4_4,0.23458708822727203,,0,1
arg_4_98,We should abandon the use of school uniform,0,kp_4_3,0.23368918895721436,,0,1
arg_4_99,We should abandon the use of school uniform,0,kp_4_3,0.2791447639465332,,0,1
arg_4_100,We should abandon the use of school uniform,0,kp_4_3,0.2457263171672821,,0,1
arg_4_101,We should abandon the use of school uniform,0,kp_4_3,0.2426440566778183,,0,1
arg_4_102,We should abandon the use of school uniform,0,kp_4_3,0.24556280672550201,,0,1
arg_4_103,We should abandon the use of school uniform,0,kp_4_3,0.24732555449008942,,0,1
arg_4_104,We should abandon the use of school uniform,0,kp_4_3,0.3097056746482849,,0,1
arg_4_105,We should abandon the use of school uniform,0,kp_4_3,0.30825185775756836,,0,1
arg_4_106,We should abandon the use of school uniform,0,kp_4_3,0.24750284850597382,,0,1
arg_4_107,We should abandon the use of school uniform,0,kp_4_0,0.22271451354026794,,0,1
arg_4_108,We should abandon the use of school uniform,0,kp_4_0,0.2218940258026123,,0,1
arg_4_109,We should abandon the use of school uniform,0,kp_4_3,0.2710321843624115,,0,1
arg_4_110,We should abandon the use of school uniform,0,kp_4_2,0.2280598133802414,,0,1
arg_4_111,We should abandon the use of school uniform,0,kp_4_2,0.2424071729183197,,0,1
arg_4_112,We should abandon the use of school uniform,0,kp_4_3,0.23199482262134552,,0,1
arg_4_113,We should abandon the use of school uniform,0,kp_4_3,0.23765110969543457,,0,1
arg_4_114,We should abandon the use of school uniform,0,kp_4_1,0.22712120413780212,,0,1
arg_4_115,We should abandon the use of school uniform,0,kp_4_1,0.23510387539863586,,0,1
arg_4_116,We should abandon the use of school uniform,0,kp_4_0,0.2086981236934662,,0,1
arg_4_117,We should abandon the use of school uniform,0,kp_4_0,0.22224515676498413,,0,1
arg_4_118,We should abandon the use of school uniform,0,kp_4_3,0.187066450715065,,0,1
arg_4_119,We should abandon the use of school uniform,0,kp_4_0,0.19546490907669067,,0,1
arg_4_120,We should abandon the use of school uniform,0,kp_4_3,0.25546467304229736,,0,1
arg_4_121,We should abandon the use of school uniform,1,kp_4_8,0.27449941635131836,,0,1
arg_4_122,We should abandon the use of school uniform,1,kp_4_6,0.20633356273174286,0,0,0
arg_4_123,We should abandon the use of school uniform,1,kp_4_6,0.2032739818096161,0,0,0
arg_4_124,We should abandon the use of school uniform,1,kp_4_6,0.19806590676307678,0,0,0
arg_4_125,We should abandon the use of school uniform,1,kp_4_5,0.22321204841136932,,0,1
arg_4_126,We should abandon the use of school uniform,1,kp_4_6,0.20521214604377747,0,0,0
arg_4_127,We should abandon the use of school uniform,1,kp_4_5,0.21977564692497253,,0,1
arg_4_128,We should abandon the use of school uniform,1,kp_4_5,0.19309598207473755,,0,1
arg_4_129,We should abandon the use of school uniform,1,kp_4_5,0.24685198068618774,1,1,1
arg_4_130,We should abandon the use of school uniform,1,kp_4_6,0.25990426540374756,0,0,0
arg_4_131,We should abandon the use of school uniform,1,kp_4_6,0.22144290804862976,0,0,0
arg_4_132,We should abandon the use of school uniform,1,kp_4_5,0.2629440426826477,1,1,1
arg_4_133,We should abandon the use of school uniform,1,kp_4_5,0.22342893481254578,0,0,0
arg_4_134,We should abandon the use of school uniform,1,kp_4_6,0.2917264401912689,0,0,0
arg_4_135,We should abandon the use of school uniform,1,kp_4_6,0.2247188240289688,0,0,0
arg_4_136,We should abandon the use of school uniform,1,kp_4_6,0.2755190432071686,0,0,0
arg_4_137,We should abandon the use of school uniform,1,kp_4_6,0.32020068168640137,0,0,0
arg_4_138,We should abandon the use of school uniform,1,kp_4_6,0.234683558344841,0,0,0
arg_4_139,We should abandon the use of school uniform,1,kp_4_5,0.2226313054561615,1,1,1
arg_4_140,We should abandon the use of school uniform,1,kp_4_6,0.2476339489221573,1,1,1
arg_4_141,We should abandon the use of school uniform,1,kp_4_6,0.21562744677066803,0,0,0
arg_4_142,We should abandon the use of school uniform,1,kp_4_6,0.20884111523628235,1,1,1
arg_4_143,We should abandon the use of school uniform,1,kp_4_9,0.23087173700332642,0,0,0
arg_4_144,We should abandon the use of school uniform,1,kp_4_6,0.25025975704193115,1,1,1
arg_4_145,We should abandon the use of school uniform,1,kp_4_6,0.2141735702753067,,0,1
arg_4_146,We should abandon the use of school uniform,1,kp_4_5,0.23796048760414124,,0,1
arg_4_147,We should abandon the use of school uniform,1,kp_4_5,0.24281293153762817,,0,1
arg_4_148,We should abandon the use of school uniform,1,kp_4_5,0.23469942808151245,,0,1
arg_4_149,We should abandon the use of school uniform,1,kp_4_6,0.22281408309936523,,0,1
